Settore Merceologico;Insegna;Ubicazione;Tipo via;Via;Civico;Codice via;ZD;Settore Storico Cf Preval;Superficie Vendita;Superficie Altri Usi;Superficie Tabelle Speciali;Superficie Totale
non alimentare;;"VIA SCARLATTI DOMENICO N. 20 ; isolato:032; accesso: accesso esterno; (z.d. 3)";VIA;SCARLATTI DOMENICO;20;2136;3;abbigliamento;40;;;40
non alimentare;;"VIA SCARLATTI DOMENICO N. 20 ; isolato:032; (z.d. 3)";VIA;SCARLATTI DOMENICO;20;2136;3;articoli regalo;40;;;90
non alimentare;;"VIA SCARLATTI DOMENICO N. 20 ; isolato:032; (z.d. 3)";VIA;SCARLATTI DOMENICO;20;2136;3;autogrill-bazar non aliment.;26;;;26
non alimentare;;"VIA SCARLATTI DOMENICO N. 20 ; isolato:032; (z.d. 3)";VIA;SCARLATTI DOMENICO;20;2136;3;casalinghi;45;;;45
non alimentare;;VIA SCARLATTI DOMENICO N. 20 (z.d. 3);VIA;SCARLATTI DOMENICO;20;2136;3;articoli non alimentari;75;5;;80
non alimentare;;VIA SCARLATTI DOMENICO N. 20 (z.d. 3);VIA;SCARLATTI DOMENICO;20;2136;3;bazar;154;;;154
non alimentare;;VIA SCARLATTI DOMENICO N. 20 (z.d. 3);VIA;SCARLATTI DOMENICO;20;2136;3;biancheria per la casa, quadri, articoli di cristallo, articoli regalo,       giocattoli, cartoleria ecc.;50;;;50
non alimentare;;VIA SCARLATTI DOMENICO N. 20 (z.d. 3);VIA;SCARLATTI DOMENICO;20;2136;3;calzature bigiotteria borse articoli regalo accessori;50;;;50
non alimentare;;"VIA SCARLATTI DOMENICO N. 3 ; isolato:044; accesso: accesso esterno; (z.d. 3)";VIA;SCARLATTI DOMENICO;3;2136;3;abbigliamento;50;10;;60
non alimentare;;"VIA SCARLATTI DOMENICO N. 3 ; isolato:044; accesso: accesso esterno; (z.d. 3)";VIA;SCARLATTI DOMENICO;3;2136;3;valigeria, pelletteria;120;;;0
non alimentare;;"VIA SCARLATTI DOMENICO N. 7 ; isolato:044; accesso: accesso esterno; (z.d. 3)";VIA;SCARLATTI DOMENICO;7;2136;3;radio tv, elettrodom,app.radio;21;;;21
non alimentare;;"VIA SCARPA ANTONIO N. 9 ; isolato:216; accesso: accesso esterno; (z.d. 7)";VIA;SCARPA ANTONIO;9;6191;7;abbigliamento;195;;;195
non alimentare;;"VIA SCARPA ANTONIO N. 9 ; isolato:216; accesso: accesso esterno; (z.d. 7)";VIA;SCARPA ANTONIO;9;6191;7;mobili;99;;;99
non alimentare;;"VIA SCARPA ANTONIO N. 9 ; isolato:216; (z.d. 7)";VIA;SCARPA ANTONIO;9;6191;7;arredamenti;80;16;;96
non alimentare;;"VIA SCHERILLO MICHELE N. 6 ; isolato:040; accesso: accesso esterno; (z.d. 9)";VIA;SCHERILLO MICHELE;6;1569;9;radio tv, elettrodom,app.radio;94;26;;120
non alimentare;;"VIA SCHIAFFINO SIMONE N. 32 ; isolato:015; accesso: accesso esterno; (z.d. 9)";VIA;SCHIAFFINO SIMONE;32;1468;9;metalsiderurgici;12;;;12
non alimentare;;"VIA SCHIAPARELLI GIOVANNI N. 14 ; isolato:197; accesso: accesso esterno; (z.d. 2)";VIA;SCHIAPARELLI GIOVANNI;14;1211;2;mobili;130;;;130
non alimentare;;"VIA SCHIAPARELLI GIOVANNI N. 1 ; isolato:202; accesso: accesso esterno; (z.d. 2)";VIA;SCHIAPARELLI GIOVANNI;1;1211;2;elettricita' e idraulica;20;20;;40
non alimentare;;"VIA SCHIAPARELLI GIOVANNI N. 1 spaccio interno; (z.d. 2)";VIA;SCHIAPARELLI GIOVANNI;1;1211;2;prodotti non alimentari;2;;;530
non alimentare;;"VIA SCHIAPARELLI GIOVANNI N. 4 ; isolato:199; accesso: accesso esterno; (z.d. 2)";VIA;SCHIAPARELLI GIOVANNI;4;1211;2;gioielleria - orologeria;15;13;;28
non alimentare;;"VIA SCHIAPARELLI GIOVANNI N. 7 ; isolato:201; accesso: accesso esterno; (z.d. 2)";VIA;SCHIAPARELLI GIOVANNI;7;1211;2;tessuti per abbigliamento;41;;;43
non alimentare;;"VIA SCIESA AMATORE N. 15 ; isolato:056; (z.d. 4)";VIA;SCIESA AMATORE;15;3072;4;piccolo zoo;17;13;;30
non alimentare;;"VIA SCIESA AMATORE N. 2 ; isolato:043; (z.d. 4)";VIA;SCIESA AMATORE;2;3072;4;abbigliamento;19;;;19
non alimentare;;VIA SCIESA AMATORE N. 2 (z.d. 4);VIA;SCIESA AMATORE;2;3072;4;confezioni per adulti;23;;;23
non alimentare;;VIA SCIESA AMATORE N. 2 (z.d. 4);VIA;SCIESA AMATORE;2;3072;4;mobili, oggettistica, complementi d'arredo;50;;;50
non alimentare;;"VIA SCIESA AMATORE N. 3 ; isolato:044; accesso: accesso esterno; (z.d. 4)";VIA;SCIESA AMATORE;3;3072;4;calzature;14;15;;29
non alimentare;;"VIA SCIESA AMATORE N. 5 ; isolato:044; accesso: accesso esterno; (z.d. 4)";VIA;SCIESA AMATORE;5;3072;4;cartoleria cancelleria;6;14;;20
non alimentare;;"VIA SCIESA AMATORE N. 5 ; isolato:044; (z.d. 4)";VIA;SCIESA AMATORE;5;3072;4;calzature;45;;;45
non alimentare;;"VIA SCIESA AMATORE N. 5 ; isolato:044; (z.d. 4)";VIA;SCIESA AMATORE;5;3072;4;cartoleria cancelleria;30;;;30
non alimentare;;"VIA SCIESA AMATORE N. 7 ; isolato:044; (z.d. 4)";VIA;SCIESA AMATORE;7;3072;4;bigiotteria e chincaglieria;15;55;;70
non alimentare;;"VIA SCIESA AMATORE N. 8 ; isolato:043; (z.d. 4)";VIA;SCIESA AMATORE;8;3072;4;motocicli;60;;;60
non alimentare;;"VIA SCIESA AMATORE N. 9 ; isolato:050; accesso: accesso esterno; (z.d. 4)";VIA;SCIESA AMATORE;9;3072;4;colori e vernici;16;9;;25
non alimentare;;"VIA SCIESA AMATORE num.002/a; isolato:043; accesso: accesso esterno; (z.d. 4)";VIA;SCIESA AMATORE;;3072;4;cine-foto-ottica-art.scientifi;35;70;;105
non alimentare;;"VIA SCOGLIO DI QUARTO N. 3 ; isolato:084; accesso: accesso esterno; (z.d. 5)";VIA;SCOGLIO DI QUARTO;3;5172;5;abbigliamento;5;20;;25
non alimentare;;"VIA SCRIVIA N. 1 ; isolato:022; accesso: accesso esterno; (z.d. 4)";VIA;SCRIVIA;1;4146;4;elettricita' e idraulica;40;;;40
non alimentare;;"VIA SCRIVIA N. 1 ; isolato:022; accesso: accesso esterno; (z.d. 4)";VIA;SCRIVIA;1;4146;4;gioielleria - orologeria;18;10;;28
non alimentare;;"VIA SCRIVIA N. 1 ; isolato:024; accesso: accesso esterno; (z.d. 4)";VIA;SCRIVIA;1;4146;4;ferramenta e ottonami;50;32;;82
non alimentare;;"VIA SCROSATI LUIGI N. 3 ; isolato:123; accesso: accesso esterno; (z.d. 6)";VIA;SCROSATI LUIGI;3;6488;6;edicola;15;;;15
non alimentare;;"VIA SEBASTIANO DEL PIOMBO N. 13 ; isolato:212; accesso: accesso esterno; (z.d. 8)";VIA;SEBASTIANO DEL PIOMBO;13;6397;8;strumenti musicali;80;;;80
non alimentare;;"VIA SEBASTIANO DEL PIOMBO N. 15 ; isolato:212; accesso: accesso esterno; (z.d. 8)";VIA;SEBASTIANO DEL PIOMBO;15;6397;8;articoli sportivi;14;;;14
non alimentare;;"VIA SEBASTIANO DEL PIOMBO N. 15 ; isolato:212; accesso: accesso esterno; (z.d. 8)";VIA;SEBASTIANO DEL PIOMBO;15;6397;8;radio tv, elettrodom,app.radio;45;15;;60
non alimentare;;"VIA SEBASTIANO DEL PIOMBO N. 15 ; isolato:212; (z.d. 8)";VIA;SEBASTIANO DEL PIOMBO;15;6397;8;mobili;20;;;20
non alimentare;;"VIA SEBASTIANO DEL PIOMBO N. 15 ; isolato:212; (z.d. 8)";VIA;SEBASTIANO DEL PIOMBO;15;6397;8;tappeti;18;;;18
non alimentare;;VIA SEBASTIANO DEL PIOMBO N. 15 (z.d. 8);VIA;SEBASTIANO DEL PIOMBO;15;6397;8;camicie;26;;;30
non alimentare;;"VIA SEBASTIANO DEL PIOMBO N. 23 ; isolato:212; accesso: accesso interno; (z.d. 8)";VIA;SEBASTIANO DEL PIOMBO;23;6397;8;abbigliamento;77;;;77
non alimentare;;"VIA SEBASTIANO DEL PIOMBO N. 3 ; isolato:217; (z.d. 8)";VIA;SEBASTIANO DEL PIOMBO;3;6397;8;programmazione e sistemi informatici  -computer;10;;;25
non alimentare;;"VIA SEBASTIANO DEL PIOMBO N. 4 ; isolato:218; (z.d. 8)";VIA;SEBASTIANO DEL PIOMBO;4;6397;8;abbigliamento;16;64;;80
non alimentare;;"VIA SEBASTIANO DEL PIOMBO N. 5 ; isolato:217; (z.d. 8)";VIA;SEBASTIANO DEL PIOMBO;5;6397;8;autoveicoli;60;10;;70
non alimentare;;"VIA SEBASTIANO DEL PIOMBO N. 6 ; isolato:218; accesso: accesso esterno; (z.d. 8)";VIA;SEBASTIANO DEL PIOMBO;6;6397;8;colori e vernici;65;5;;70
non alimentare;;"VIA SEBASTIANO DEL PIOMBO num.027; (z.d. 8)";VIA;SEBASTIANO DEL PIOMBO;;6397;8;telefoni;10;17;;27
non alimentare;;VIA SEBENICO N. 24 (z.d. 9);VIA;SEBENICO;24;1131;9;tessuti e biancheria per la casa;91;;;101
non alimentare;;"VIA SEBINO N. 16 ; isolato:126; accesso: accesso esterno; (z.d. 4)";VIA;SEBINO;16;4092;4;dischi;5;19;;24
non alimentare;;"VIA SEBINO N. 19 ; isolato:129; accesso: accesso esterno; (z.d. 4)";VIA;SEBINO;19;4092;4;piccolo zoo;58;;;58
non alimentare;;"VIA SEBINO N. 6 ; isolato:125; accesso: accesso esterno; (z.d. 4)";VIA;SEBINO;6;4092;4;cartoleria cancelleria;40;;;40
non alimentare;;VIA SEGNERI PAOLO N. 8 (z.d. 6);VIA;SEGNERI PAOLO;8;5380;6;non alimentare;40;;;50
non alimentare;;"VIA SEGURO num.000; accesso: accesso esterno; (z.d. 7)";VIA;SANZIO RAFFAELLO;4;6283;7;ornamenti ed arredi tombali;92;;;92
non alimentare;;"VIA SEGURO num.005; isolato:072; accesso: accesso interno; (z.d. 7)";PLE;SIENA;2;6616;7;articoli funebri;28;;;28
non alimentare;;"VIA SELLA QUINTINO N. 1 ;for buonaparte 064*; isolato:240; accesso: accesso esterno; (z.d. 1)";VIA;SELLA QUINTINO;1;724;1;articoli tessili per arredamen;75;50;;125
